*** Booting Zephyr OS build zephyr-v3.5.0-3460-g547ffdab6e16 ***
[00:00:00.253,295] <dbg> bttester: tester_init: Initializing tester
[00:00:07.278,472] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:07.278,533] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:07.278,564] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.5 Build 99
[00:00:07.280,548] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:07.280,578] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:07.280,609] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:07.918,090] <dbg> bt_vcp_vol_rend: prepare_aics_inst: AICS P 0x20002184
[00:00:07.918,151] <dbg> bt_vcp_vol_rend: prepare_aics_inst: AICS P 0x20001f24
[00:00:09.970,306] <dbg> bttester_aics: aics_mute_disable: AICS disable mute
